Linux 4.15.0-45-generic (ubu1) 	02/14/19 	_x86_64_	(2 CPU)

19:45:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:45:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:45:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:45:57        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:02        all      0.00      0.00      0.10      0.00      0.00     99.90
19:46:07        all      0.00      0.00      0.10      0.00      0.00     99.90
19:46:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:17        all      0.00      0.00      0.10      0.00      0.00     99.90
19:46:22        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:27        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:32        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:37        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:42        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:47        all      0.00      0.00      0.10      0.00      0.00     99.90
19:46:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:46:57        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:02        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:07        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:17        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:22        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:27        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:32        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:37        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:42        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:47:57        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:02        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:07        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:17        all      0.00      0.00      0.10      0.00      0.00     99.90
19:48:22        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:27        all      0.00      0.00      0.20      0.00      0.00     99.80
19:48:32        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:37        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:42        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:48:57        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:02        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:07        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:17        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:22        all      0.00      0.00      0.10      0.00      0.00     99.90
19:49:27        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:32        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:37        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:42        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:57        all      0.00      0.00      0.00      0.10      0.00     99.90
19:50:02        all      0.00      0.00      0.10      0.00      0.00     99.90
19:50:07        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:17        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:22        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:27        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:32        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:37        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:42        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:57        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:02        all      0.00      0.00      0.20      0.00      0.00     99.80
19:51:07        all      0.50      0.00      0.20      0.30      0.00     99.00
19:51:12        all      0.10      0.00      0.10      0.00      0.00     99.80
19:51:17        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:22        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:27        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:32        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:37        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:42        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:51:57        all      0.00      0.00      0.00      0.90      0.00     99.10
19:52:02        all      0.00      0.00      0.20      0.20      0.00     99.60
19:52:07        all      0.40      0.00      0.10      0.10      0.00     99.40
19:52:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:52:17        all      0.00      0.00      0.00      0.00      0.00    100.00
19:52:22        all      0.00      0.00      0.00      0.00      0.00    100.00
19:52:27        all      0.10      0.00      0.00      0.00      0.00     99.90
19:52:32        all      0.40      0.00      0.20      0.30      0.00     99.10
19:52:37        all      7.11      0.00      1.60      5.11      0.00     86.17
19:52:42        all      4.12      7.33      2.81      1.91      0.00     83.84
19:52:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:52:52        all      0.30      0.00      0.00      0.50      0.00     99.20
19:52:57        all      0.00      0.00      0.10      0.00      0.00     99.90
19:53:02        all      0.00      0.00      0.10      0.00      0.00     99.90
19:53:07        all      0.00      0.00      0.00      0.80      0.00     99.20
19:53:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:53:17        all      0.40      0.00      0.10      0.00      0.00     99.50
19:53:22        all      0.00      0.00      0.10      0.00      0.00     99.90
19:53:27        all      0.20      0.00      0.20      0.00      0.00     99.60
19:53:32        all      0.60      0.00      0.30      0.00      0.00     99.10
19:53:37        all      0.10      0.00      0.10      0.00      0.00     99.80
19:53:42        all      0.00      0.00      0.10      0.00      0.00     99.90
19:53:47        all      0.00      0.00      0.00      0.00      0.00    100.00
19:53:52        all      0.00      0.00      0.00      0.00      0.00    100.00
19:53:57        all      0.00      0.00      0.10      0.00      0.00     99.90
19:54:02        all      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.14      0.07      0.07      0.10      0.00     99.61
